issue_url,issue_created_at,issue_closed_at,open_duration_days
https://github.com/flutter/flutter/issues/49447,2020-01-24 21:41:13,2025-01-31 01:12:24,1833
https://github.com/flutter/flutter/issues/49330,2020-01-23 03:41:07,2025-01-31 01:12:31,1834
https://github.com/flutter/flutter/issues/59816,2020-06-19 00:13:11,2025-01-31 01:14:44,1687
https://github.com/flutter/flutter/issues/71586,2020-12-02 18:22:47,2025-01-31 01:17:40,1520
https://github.com/flutter/flutter/issues/86385,2021-07-13 22:35:16,2025-01-31 01:22:27,1297
https://github.com/flutter/flutter/issues/93337,2021-11-09 19:42:42,2025-01-24 10:21:44,1171
https://github.com/flutter/flutter/issues/62626,2020-07-30 23:33:56,2025-01-23 05:24:45,1637
https://github.com/flutter/flutter/issues/29068,2019-03-08 22:18:02,2025-01-22 20:02:36,2146
https://github.com/flutter/flutter/issues/73643,2021-01-09 14:16:58,2025-01-15 16:35:00,1467
https://github.com/flutter/flutter/issues/93062,2021-11-04 16:23:55,2025-01-15 00:53:38,1167
https://github.com/flutter/flutter/issues/64801,2020-08-28 16:45:11,2025-01-15 01:06:09,1600
https://github.com/flutter/flutter/issues/44922,2019-11-14 18:25:08,2025-01-14 18:51:21,1888
https://github.com/flutter/flutter/issues/31169,2019-04-17 01:37:53,2025-01-14 08:24:05,2099
https://github.com/flutter/flutter/issues/92851,2021-11-01 17:58:32,2025-01-14 02:23:33,1169
https://github.com/flutter/flutter/issues/91896,2021-10-15 13:40:15,2025-01-13 21:22:52,1186
https://github.com/flutter/flutter/issues/32023,2019-05-03 06:54:24,2025-01-13 21:53:34,2082
https://github.com/flutter/flutter/issues/41461,2019-09-27 09:38:55,2025-01-07 16:05:33,1929
https://github.com/flutter/flutter/issues/47272,2019-12-18 03:13:53,2024-12-11 17:13:10,1820
https://github.com/flutter/flutter/issues/33810,2019-06-03 23:36:15,2024-12-10 16:14:15,2016
https://github.com/flutter/flutter/issues/72045,2020-12-10 02:52:35,2024-12-09 20:02:17,1460
https://github.com/flutter/flutter/issues/84306,2021-06-10 00:29:56,2024-12-05 07:03:46,1274
https://github.com/flutter/flutter/issues/90155,2021-09-15 22:38:14,2024-12-04 22:44:09,1176
https://github.com/flutter/flutter/issues/43301,2019-10-22 23:39:28,2024-12-03 00:17:39,1868
https://github.com/flutter/flutter/issues/66006,2020-09-17 09:15:13,2024-11-21 17:52:38,1526
https://github.com/flutter/flutter/issues/48882,2020-01-15 11:52:58,2024-11-20 19:29:10,1771
https://github.com/flutter/flutter/issues/39840,2019-09-04 18:26:38,2024-11-20 16:38:58,1903
https://github.com/flutter/flutter/issues/59059,2020-06-09 09:05:39,2024-11-08 21:41:57,1613
https://github.com/flutter/flutter/issues/83171,2021-05-22 13:54:37,2024-11-07 23:18:46,1265
https://github.com/flutter/flutter/issues/60675,2020-07-01 08:57:49,2024-11-06 01:05:03,1588
https://github.com/flutter/flutter/issues/46638,2019-12-09 22:00:24,2024-11-02 00:51:14,1789
https://github.com/flutter/flutter/issues/40098,2019-09-09 17:34:08,2024-10-30 10:16:25,1877
https://github.com/flutter/flutter/issues/65547,2020-09-10 14:59:11,2024-10-29 04:07:10,1509
https://github.com/flutter/flutter/issues/43396,2019-10-24 02:47:50,2024-10-24 19:57:40,1827
https://github.com/flutter/flutter/issues/53788,2020-04-01 22:22:43,2024-10-12 16:04:49,1654
https://github.com/flutter/flutter/issues/10721,2017-06-15 14:32:48,2024-09-30 17:37:39,2664
https://github.com/flutter/flutter/issues/12512,2017-10-12 17:09:17,2024-09-30 16:54:26,2544
https://github.com/flutter/flutter/issues/60213,2020-06-24 16:34:02,2024-09-25 23:52:54,1554
https://github.com/flutter/flutter/issues/76082,2021-02-15 23:14:01,2024-09-25 16:58:46,1317
https://github.com/flutter/flutter/issues/56261,2020-05-03 23:03:45,2024-09-24 22:32:59,1604
https://github.com/flutter/flutter/issues/37022,2019-07-26 17:40:52,2024-09-13 00:24:13,1875
https://github.com/flutter/flutter/issues/49436,2020-01-24 18:52:22,2024-09-09 00:10:47,1689
https://github.com/flutter/flutter/issues/72201,2020-12-12 16:44:09,2024-09-04 16:27:50,1361
https://github.com/flutter/flutter/issues/34194,2019-06-11 00:03:13,2024-08-31 01:30:06,1908
https://github.com/flutter/flutter/issues/39336,2019-08-27 16:41:35,2024-08-31 01:30:50,1830
https://github.com/flutter/flutter/issues/39933,2019-09-05 21:19:57,2024-08-31 01:31:11,1821
https://github.com/flutter/flutter/issues/71507,2020-12-01 21:11:29,2024-08-31 01:39:09,1368
https://github.com/flutter/flutter/issues/31498,2019-04-23 17:34:08,2024-08-30 03:38:40,1955
https://github.com/flutter/flutter/issues/45754,2019-11-28 05:49:25,2024-08-30 03:52:44,1736
https://github.com/flutter/flutter/issues/63210,2020-08-07 17:49:22,2024-08-29 15:56:49,1482
https://github.com/flutter/flutter/issues/13908,2018-01-04 18:20:54,2024-08-29 03:04:14,2428
https://github.com/flutter/flutter/issues/41330,2019-09-26 00:24:22,2024-08-27 04:32:01,1797
https://github.com/flutter/flutter/issues/48225,2020-01-06 03:05:53,2024-08-23 20:45:23,1691
https://github.com/flutter/flutter/issues/71941,2020-12-08 20:49:56,2024-08-23 20:00:29,1353
https://github.com/flutter/flutter/issues/79559,2021-04-01 15:59:05,2024-08-23 10:39:30,1239
https://github.com/flutter/flutter/issues/11884,2017-08-31 23:36:11,2023-11-30 09:22:21,2281
https://github.com/flutter/flutter/issues/58367,2020-05-31 13:00:23,2024-08-22 07:25:36,1543
https://github.com/flutter/flutter/issues/60411,2020-06-27 04:04:37,2024-08-21 19:15:59,1516
https://github.com/flutter/flutter/issues/79641,2021-04-02 13:19:53,2024-08-20 17:46:32,1236
https://github.com/flutter/flutter/issues/18382,2018-06-12 01:30:25,2024-08-13 19:41:00,2254
https://github.com/flutter/flutter/issues/18320,2018-06-08 23:48:26,2024-08-13 19:41:20,2257
https://github.com/flutter/flutter/issues/33586,2019-05-30 14:40:13,2024-08-06 17:01:23,1895
https://github.com/flutter/flutter/issues/86811,2021-07-21 20:31:30,2024-08-06 17:01:23,1111
https://github.com/flutter/flutter/issues/25005,2018-12-05 21:51:16,2024-08-13 15:14:38,2077
https://github.com/flutter/flutter/issues/13140,2017-11-22 00:16:58,2024-08-13 02:55:13,2456
